System,Optimization method,Metric,Value
Blasius,Sparse KFs with gamma=0.0001,Hausdorff Distance,0.0061862183849664
Blasius,Sparse KFs with gamma=0.0001,SMAPE,8.354768770758916e-05
Blasius,Sparse KFs with gamma=0.001,MSE,1.7270176621286932e-08
Blasius,Sparse KFs with gamma=0.001,Hausdorff Distance,0.0086968804492659
Blasius,Sparse KFs with gamma=0.001,SMAPE,0.000130368804161
Blasius,Sparse KFs with gamma=0.01,MSE,8.048832475426626e-07
Blasius,Sparse KFs with gamma=0.01,Hausdorff Distance,0.0384365567684652
Blasius,Sparse KFs with gamma=0.01,SMAPE,0.0004028588001445
Blasius,Sparse KFs with gamma=0.1,MSE,1.907184245537305e-07
Blasius,Sparse KFs with gamma=0.1,Hausdorff Distance,0.0251517914024787
Blasius,Sparse KFs with gamma=0.1,SMAPE,0.0002142810181517
Blasius,Sparse KFs with gamma=1.0,MSE,3.487009126181368e-07
Blasius,Sparse KFs with gamma=1.0,Hausdorff Distance,0.0351509361708863
Blasius,Sparse KFs with gamma=1.0,SMAPE,9.373157803807108e-05
Blasius,Sparse KFs with gamma=10.0,MSE,1.6286964302095337e-08
Blasius,Sparse KFs with gamma=10.0,Hausdorff Distance,0.0084483163089573
Blasius,Sparse KFs with gamma=10.0,SMAPE,8.781133345065015e-05
Blasius,Trained Gaussian kernel,MSE,1.2197554887579507e-05
Blasius,Trained Gaussian kernel,Hausdorff Distance,0.1697749254617473
Blasius,Trained Gaussian kernel,SMAPE,0.0002777019234374
Blasius,Random Initialization,MSE,0.0496644962274957
Blasius,Random Initialization,Hausdorff Distance,12.295384855293092
Blasius,Random Initialization,SMAPE,0.0960641790209841
Blasius,Gaussian kernel with sigma=0.5,MSE,0.0004530976893691
Blasius,Gaussian kernel with sigma=0.5,Hausdorff Distance,1.0313282802492136
Blasius,Gaussian kernel with sigma=0.5,SMAPE,0.0006268216659174
BlinkingRotlet,Regular KFs,MSE,0.0006849228971292
BlinkingRotlet,Regular KFs,Hausdorff Distance,2.051048657225906
BlinkingRotlet,Regular KFs,SMAPE,0.0123971325852464
BlinkingRotlet,Sparse KFs with gamma=0.0001,MSE,7.681856089154033e-05
BlinkingRotlet,Sparse KFs with gamma=0.0001,Hausdorff Distance,0.6984317325688799
BlinkingRotlet,Sparse KFs with gamma=0.0001,SMAPE,0.0061735304693124
BlinkingRotlet,Sparse KFs with gamma=0.001,MSE,7.148727547012992e-05
BlinkingRotlet,Sparse KFs with gamma=0.001,Hausdorff Distance,0.6698816244061057
BlinkingRotlet,Sparse KFs with gamma=0.001,SMAPE,0.0059738608060938
BlinkingRotlet,Sparse KFs with gamma=0.01,MSE,9.670375541754418e-05
BlinkingRotlet,Sparse KFs with gamma=0.01,Hausdorff Distance,0.8006682328808927
BlinkingRotlet,Sparse KFs with gamma=0.01,SMAPE,0.0056642209680549
BlinkingRotlet,Sparse KFs with gamma=0.1,MSE,8.538598138439642e-05
BlinkingRotlet,Sparse KFs with gamma=0.1,Hausdorff Distance,0.7377515860959837
